Name (international):,Name (local):,Type of institution:,Address:,City:,Phone:,Fax:,Email:,N/A
"Arkansas State University - Newport, Jonesboro",Arkansas State University-Newport,University,5504 Krueger Dr,"Jonesboro, Arkansas",+1 (870) 932-2176,+1 (870) 972-0801,,Profile
"Arkansas State University - Newport, Marked Tree",Arkansas State University-Newport,University,33500 U.S. 63,"Marked Tree, Arkansas",+1 (870) 358-2117,+1 (870) 358-4117,,Profile
"Arkansas State University - Newport, Marked Tree",Arkansas State University-Newport,University,33500 U.S. 63,"Marked Tree, Arkansas",+1 (870) 358-2117,+1 (870) 358-4117,,Profile
Arkansas State University Mid-South,ASU Mid-South,University,2000 West Broadway,"West Memphis, Arkansas","+1 (870) 733-6722,+1 (866) 733-6722",,admissions@midsouthcc.edu,Profile
Abraham Lincoln University,Abraham Lincoln University and School of Law,University,"3530 Wilshire Blvd, Ste 1430","Los Angeles, California","+1 (213) 252-5100,+1 (866) 558-0999",+1 (213) 252-5113,admissions@alu.edu,admissions@alu.edu
Alhambra Beauty College,Alhambra Beauty College,College,200 West Main Street,"Alhambra, California",+1 (626) 282-6433,+1 (626) 282-1626,INFO@ALHAMBRABEAUTY.EDU,N/A
Allan Hancock College,Allan Hancock College,College,800 South College Drive,"Santa Maria, California","+1 (805) 922-6966,+18059 (226) 966-3248",+1 (805) 922-3477,info@hancockcollege.edu,N/A
Alliant International University,Alliant International University,University,1 Beach Street,"San Francisco, California",+1 (866) 825-5426,+1 (415) 955-2060,admissions@alliant.edu,admissions@alliant.edu
Allied American University,"Allied American University has officially closed for business as of December 31, 2016",University,22952 Alcalde Drive,Laguna Hills,+1 (888) 384-0849,+1 (949) 707-2978,studentservices@alliedschools.com,N/A
"American Career College, Los Angeles Campus",American Career College,College,4021 Rosewood Avenue,"Los Angeles, California",+1 (323) 668-7555,,,N/A
"American Career College, Ontario Campus",American Career College,College,3130 East Sedona Court,"Ontario, California",+1 (909) 218-3253,,,N/A
"American Career College, Orange County Campus",American Career College,College,1200 North Magnolia Avenue,"Anaheim, California",+1 (714) 763-9066,,,N/A
American College of Traditional Chinese Medicine,American College of Traditional Chinese Medicine,College,455 Arkansas Street,"San Francisco, California",+1 (415) 282-7600,+1 (415) 282-0856,ACTCMadmissions@ciis.edu,admissions@actcm.edu
American Graduate University,American Graduate University,University,733 N. Dodsworth Ave.,"Covina, California",+1 (626) 966-4576,,info@agu.edu,N/A
Adams State College,Adams State College,College,208 Edgemont Boulevard,Alamosa,+1 (719) 587 7011,+1 (719) 587 7522,ascadmit@adams.edu,ascart@adams.edu
Adams State College Extended Studies,Adams State College,College,208 Edgemont Blvd,"Alamosa, CO",+1 719-587-7011,,ascextend@adams.edu,N/A
Aims Community College,,College,P.O. Box 69,Greeley,(800) 301-5388,(970) 506-6953,aimsjobs@aims.ed,N/A
American Sentinel University,American Sentinel University,University,Suite 310,Denver,"+1 8007292427, 18669225690",+1 18665052450,admissions@americansentinel.edu,admissions@americansentinel.edu
Arapahoe Community College,Arapahoe Community College,College,"5900 South Santa Fe Drive, P.O. Box 9002",Littleton,+1 3037975644,+1 303-678-3709,preenrollmentws@arapahoe.edu,N/A
Argosy University - Denver,Argosy University - Denver,University,,,,,,N/A
Aspen University,Aspen University,University,"720 South Colorado Blvd., Suite 1150N",Denver,"+1 303-333-4224, +1 303-333-4224",+1 303-336-1144,info@aspen.edu,studentservices@aspen.edu
Association of Christian Schools International,Association of Christian Schools International,College,,,,,,N/A
Auguste Escoffier School of Culinary Arts,Auguste Escoffier School of Culinary Arts,College,,,,,,N/A
Beth-El College of Nursing and Health Sciences,Beth-El College of Nursing and Health Sciences,College,PO Box 7150,Colorado Springs,+1 (719) 262 3439,,jcrouch@uccs.edu,N/A
Albertus Magnus College,Albertus Magnus College,College,700 Prospect Street,New Haven,+1 (203) 773 8550,+1 (203) 785 8652,chansen@albertus.edu,N/A
Asnuntuck Community College,Asnuntuck Community College,College,170 Elm Street,Enfield,860.253.3000,,AS-HumanResources@acc.commnet.edu,N/A
Capital Community College,Capital Community College,College,950 Main Street,Hartford,+1 (860) 906-5000,,,N/A
Central Connecticut State University,Central Connecticut State University,University,1615 Stanley Street,New Britain,+1 (860) 832 3200,+1 (860) 832 2522,Porterak@ccsu.edu,N/A
Charter Oak State College,Charter Oak State College,College,55 Paul J Manafort Drive,New Britain,+1 (860) 832 3800,+1 (860) 832 3999,info@charteroak.edu,N/A
Collegiate Compass,Collegiate Compass,College,,Greenwich,,,,N/A
Connecticut College,Connecticut College,College,,,,,sgfle@conncoll.edu,N/A
Connecticut College,Connecticut College,College,,,,,sgfle@conncoll.edu,N/A
Connecticut Community Colleges,Connecticut Community Colleges,College,61 Woodland Street,Hartford,,,drowe@commnet.edu,N/A
Dakota Wesleyan University,Wesleyan University,University,1200 W. University Ave,Mitchell,"+1 (605) 995-2650,+1 (800) 333-8506",+1 (605) 995-2699,comelleg@dwu.edu,N/A
Alfred Lerner College of Business & Economics | University of Delaware,Alfred Lerner College of Business & Economics | University of Delaware,College,303 Alfred Lerner Hall,Newark,+1 (302) 831-2792,,admissions@udel.edu,admissions@udel.edu
American University for Humanities,"American University for Humanities, USA",University,501 Silverside Road,Wilmington,+1 (302) 230-2717,+1 (302) 230-2716,info@auh.edu,info@auh.edu
Beebe Hospital School of Nursing,Beebe Hospital School of Nursing,College,424 Savannah Road,Lewes,+1 302-645-3251,,schoolofnursing@bbmc.org,N/A
College of Agriculture and Natural Resources | University of Delaware,College of Agriculture and Natural Resources | University of Delaware,College,531 South College Avenue,Newark,+1 302-831-2501,,,N/A
"College of Earth, Ocean, and Entvironment | University of Delaware","College of Earth, Ocean, and Entvironment | University of Delaware",College,111 Robinson Hall,Newark,+1 302-831-2841,,ceoe-info@udel.edu,N/A
"Concordia College and University, Delaware",,College,1201 Orange Street,Wilmington,+1 888 308 54 79,+1 888 308 54 79,info@concordia-university.net,N/A
Delaware College of Art and Design,Delaware College of Art and Design,College,600 N. Market Street,Wilmington,,302-622-8870,ptv@academic-search.org,N/A
Delaware State University,Delaware State University,University,1200 N. Dupont Highway,Dover,+1 (302) 857 6060,+1 (302) 857 6069,eaugustus@desu.edu,N/A
"Delaware State University, School of Management","Delaware State University, School of Management",College,William A. Carter Partnership Center,"Georgetown,WilmingtonSeattle",+1 3028565397,+1 3028565388,tsmith@desu.edu,N/A
Delaware Technical & Community College-Owens Campus,Delaware Technical & Community College-Owens Campus,College,,,,,,N/A
Advanced Technology College (ATC),Advanced Technology College (ATC) Daytona State College,College,1200 W. International Speedway Blvd,Daytona Beach,+++1 (386) 506- 4140,,McCranM@DaytonaState.edu,N/A
American College of Applied Science,"American College of Applied Science, Crescent City FL",College,P.O. Box 825,Crescent City FL,+1 7725398005,+1 386-698-0979,hr@amcollege.us,N/A
American InterContinental University (Fla.),American InterContinental University (Fla.),University,"6600 Peachtree-Dunwoody Road, 500 Embassy Row 500 Embassy Row 500 Embassy Row 500 Embassy Row",Atlanta,+1 8883795888,,bbalachandran@aiuonline.edu,N/A
American InterContinental University South-Florida,,University,"5550 Prairie Stone Parkway, Suite 130",Hoffman Estates,,,,N/A
Ana G. Mendez University System,Sistema Universitario Ana G. Méndez South Florida Campus,University,"Miramar Park of Commerce , 3520 Enterprise Way",Miramar,"+1 (954) 885-5595, (954) 885-5595",+1 (954) 885-5861,jubolivar@suagm.edu,N/A
Argosy University,,University,2233 West Dunlap Avenue,Phoenix,+1 (866) 427-4679,+1 (214) 361-0178,csprogramadmin@edmc.edu,N/A
Argosy University - Tampa,Argosy University - Tampa,University,"4401 North Himes Avenue, Suite 150",Tampa,+1 .800.377.0617,+1 813.873.2171,tacameron@argosy.edu,N/A
"ATA, CIF College","ATA, CIF College",College,,Spring Hill,(727) 576-9597,502-371-8598,h,N/A
Atlantis University,,University,1442 Biscayne Boulevard,Miami,"+1 (305) 377-9004,+1 (855) 287-3347,+1 (305) 377-8817",+1 305-377-9004,virtualcampus@atlantisuniversity.org,N/A
Ave Maria University,Ave Maria University,University,5050 Ave Maria Boulevard,Ave Maria,239-280-2550,239-280-1637,biosearch@avemaria.edu,N/A
Abraham Baldwin Agricultural College,Abraham Baldwin Agricultural College,College,2802 Moore Highway,Tifton,+1 (800) 733-3653,+1 229-391-4891,abacinfo@abac.edu,abacinfo@abac.edu
Agnes Scott College,Agnes Scott College,College,141 E. College Avenue,Decatur,"+1 (404) 471 6000, 800 868-8602, 404 471-6285",+1 (404) 471 6067,admission@agnesscott.edu,admission@agnesscott.edu
Albany State University,Albany State University,University,504 College Drive,Albany,+1 (229) 430 4600,+1 229-430-2867,,N/A
Albany Technical College,,College,1704 S. Slappey Blvd.,Albany,+1 229-430-3500,+++1 229-430-6180,hr@albanytech.edu,N/A
Altamaha Technical College,Altamaha Technical College,University,1777 West Cherry Street,"Jesup, GA",+1 (912) 427-5800,+1 (912) 427-5823,inform@altamahatech.edu,N/A
American Intercontinental University,American Intercontinental University,University,,,,,,N/A
American InterContinental University,American InterContinental University (AIU),University,,,+1 (855) 367-1888,,,N/A
American InterContinental University - Atlanta,AIU Atlanta,University,"6600 Peachtree-Dunwoody Road, 500 Embassy Row",500 Embassy Row,"+1 (800) 491-0182,+1 (404) 965-6500,+1 (888) 379-5888",,bbalachandran@aiuonline.edu,N/A
American InterContinental University - Buckhead,American InterContinental University - Buckhead,University,3330 Peachtree Road NE,Atlanta,,404-965-5785,tasha.jones@buckhead.aiuniv.edu,N/A
Andrew College,Andrew College,College,501 College St.,Cuthbert,229.732.2171,229.732.2176,webmaster@andrewcollege.edu,N/A
Argosy University - Hawaii,Argosy University - Hawaii,University,"400 ASB Tower, 1001 Bishop Street",Honolulu,+1 8085365555,+1 8085365505,jutzinger@aii.edu,N/A
Atlantic International University,Atlantic International University,University,900 Fort Street Mall 40,Honolulu,"+1 800-993-0066, 808-924-9567","+1 808-947-2488, 808-947-2488",info@aiu.edu,N/A
Brigham Young University Hawaii,Brigham Young University Hawaii,University,55-220 Kulanui Street,Laie,+1 (808) 293 3700,+1 (808) 293 3329,admissions@byuh.edu,N/A
Chaminade University of Honolulu,Chaminade University of Honolulu,University,3140 Waialae Avenue,Honolulu,+1 (808) 735 4741,+1 (808) 735 4870,HR@chaminade.edu,N/A
"College of Business and Economics, University of Hawaii at Hilo","College of Business and Economics, University of Hawaii at Hilo",College,200 W. Kawili St.,Hilo,+1 808-974-7400,+1 808-974-7685,uhhecon8@hawaii.edu,N/A
College of Engineering | University of Hawaii at Manoa,College of Engineering | University of Hawaii at Manoa,College,"2540 Dole Steet, Holmes 250","Honolulu, Hawaii",+1 (808) 956-8404,,info@eng.hawaii.edu,N/A
"College of Social Sciences, University of Hawai’i at Manoa","College of Social Sciences, University of Hawai’i at Manoa",College,Hawai'i Hall 310 | 2500 Campus Road,"Honolulu, Hawai'i",+1 808-956-6570,+1 808-956-2340,,N/A
"College of Tropical Agriculture and Human Resources, University of Hawaii at Monoa","College of Tropical Agriculture and Human Resources, University of Hawaii at Monoa",College,"3050 Maile Way, Gilmore 202","Honolulu, Hawaii",+1 (808) 956-4142,+1 (808) 956-9105,research@ctahr.hawaii.edu,N/A
Hawai'i Community College,,College,200 West Kawili Street,Hilo,+1 (808) 974-7611,+1 (808) 974-7692,okuma@hawaii.edu,N/A
"Hawai'i Pacific University, College of Business Administration","Hawai'i Pacific University, College of Business Administration",College,1164 Bishop Street,"Honolulu, Hawai'i",+1 (808) 236-3578,+1 (808) 236-3591,advising@hpu.edu,N/A
Albertson College of Idaho,Albertson College of Idaho,College,2112 Cleveland Blvd.,Caldwell,(208) 459-5011,(208) 459-5175,webmaster@collegeofidaho.edu,N/A
Boise Bible College,Boise Bible College,College,8695 W Marigold Street,Boise,+1 (208) 376 7731,+1 (208) 376 7743,mflaherty@boisebible.edu,N/A
Boise State University,Boise State University,University,1910 University Drive,Boise,+1 (208) 426 1757,+1 (208) 426 3765,heatherlittle@boisestate.edu,N/A
"Boise State University, Business School","Boise State University, Business School",College,1910 University Drive - Boise,"Boise, Idaho",+++1 208.426.1000,,,N/A
Brigham Young University Idaho,Brigham Young University-Idaho,University,525 S Center,Rexburg,+1 (208) 496 2411,,,N/A
Canyon College,Canyon College,College,111 Poplar St,Caldwell,+1 (208) 455-0010,,,N/A
"Carrington College, Boise Campus",Carrington College,College,1122 North Liberty Street,"Boise, Idaho","+1 (208) 779-3100,+1 (877) 206-2106",,,N/A
"College of Agricultural and Life Sciencese, University of Idaho","College of Agricultural and Life Sciencese, University of Idaho",College,606 Rayburn Street,Moscow,+1 (208) 885-6681,+1 (208) 885-6654,ag@uidaho.edu,N/A
College of Southern Idaho,College of Southern Idaho,College,PO Box 1238,Twin Falls,208-732-6269,208-732-6791,jthom@csi.edu,N/A
"CollegeAmerica, Idaho Falls, Idaho Campus",CollegeAmerica,College,"901 Pier View Drive, Suite 105","Idaho Falls, Idaho","+1 (800) 622-2894,+1 (208) 522-0887",,debbi.potts@collegeamerica.edu,N/A
Ancilla College,Ancilla College,College,,Donaldson,+1 574-936-8898 322,+1 574-935-1773,,N/A
Anderson University (Ind.),Anderson University (Ind.),University,1100 East Fifth Street,Anderson,"(765) 641-4080 , +1 800-428-6414",+1 765-641-4356,info@anderson.edu,N/A
Ball State University,Ball State University,University,2000 University Avenue,Muncie,"+1 (765) 289 1241, +1 765-285-8300, +1 765-285-1722",+1 (765) 285 1461,askus@bsu.edu,N/A
Bethel College Mishawaka,Bethel College Mishawaka,College,1001 Bethel Circle,Mishawaka,"+1 (574) 807-7000,+1 (574) 807-7600,+1 (866) 449-3291",+1 (574) 807-7650,Admissions@BethelCollege.edu,N/A
Bishop Dwenger High School,,University,1300 E. Washington Center Road,"Fort Wayne, Indiana",+1 (260) 496-4700,,saints@bishopdwenger.com,N/A
Brown Mackie College - Fort Wayne,Fort Wayne - Brown Mackie College,College,3000 East Coliseum Boulevard,"Fort Wayne, Indiana",+1 260-484-4400,,materialsreview@brownmackie.edu,N/A
Brown Mackie College - Indianapolis,Indianapolis - Brown Mackie College,College,"1200 N. Meridian Street, Suite 100","Indianapolis, Indiana",+1 866-255-0279,,materialsreview@brownmackie.edu,N/A
Brown Mackie College - Merrillville,Merrillville - Brown Mackie College,College,"1000 East 80th Place, Suite 205M","Merrillville, Indiana",+1 (219) 769-3321,,materialsreview@brownmackie.edu,N/A
Brown Mackie College - Michigan City,Michigan City - Brown Mackie College,College,325 East U.S. Highway 20,"Michigan City, Indiana",+1 (219) 877-3100,,materialsreview@brownmackie.edu,N/A
Brown Mackie College - South Bend,South Bend - Brown Mackie College,College,3454 Douglas Road,"South Bend, Indiana",+1 (574) 237-0774,,materialsreview@brownmackie.edu,N/A
AIB College of Business,AIB College of Business,College,2500 Fleur Drive,Des Moines,515-246-5373,,itzelj@aib.edu,N/A
Allen College,,College,1825 Logan Avenue,Waterloo,+1 (319) 226-2000,,,N/A
"American College of Hairstyling, Des Moines School","American College of Hairstyling, Des Moines School",College,603 E. 6th Street,Des Moines,+1 (515) 244-0971,,admissions@AmericanCollegeOfHair.com,N/A
Buena Vista University,Buena Vista University,University,610 W 4Th Street,Storm Lake,+1 (712) 749 2400,+1 (712) 749 2037,boydj@bvu.edu,N/A
Central College,Central College,College,812 University,Pella,+1 8774623687,+1 (641) 6285316,admission@central.edu,N/A
Clarke College,Clarke College,College,1550 Clarke Drive,Dubuque,+1 (563) 588 6300,+1 (563) 588 6789,humanresources@clarke.edu,N/A
Coe College,Coe College,College,1220 First Avenue Ne,Cedar Rapids,+1 (319) 399 8000,+1 (319) 399 8816,o-deanfaculty@coe.edu,N/A
"College of Engineering, University of Iowa","College of Engineering, University of Iowa",College,,Iowa City,319/335-0411,,,N/A
"College of Law, The University of Iowa","College of Law, The University of Iowa",College,College of Law Admissions Office The University of Iowa 320 Melrose Ave.,"Iowa City, IA",+1 319-335-9095,,law-admissions@uiowa.edu,N/A
Community Colleges for International Development,Community Colleges for International Development,College,P.O. Box 2068,Cedar Rapids,-336,-6192,ccid@kirkwood.edu,N/A
Allen Community College,Allen Community College,College,1801 N. Cottonwood,Iola,620-365-5116 x299,1-620-365-7406,stahl@allencc.edu,N/A
Arkansas Baptist College,Arkansas Baptist College,College,1621 Dr. Martin Luther King Drive,Little Rock,+1 (501) 244-5168,,,N/A
Arkansas Northeastern College,Arkansas Northeastern College,College,"2501 South Division, P. O. Box 1109",Blytheville,(870) 762-3121,(870) 838-2929,cwilf@anc.edu,N/A
Associated Colleges of Central Kansas,Associated Colleges of Central Kansas,College,210 S. Main Street,McPherson,620-241-5150,620-241-5153,cindy@acck.edu,N/A
Baker University,Baker University,University,618 Eighth Street,Baldwin City,+1 (785) 594 6451,+1 (785) 594 8353,jean.johnson@bakeru.edu,N/A
Barclay College,Barclay College,College,607 N Kingman,Haviland,+1 (620) 862 5252,+1 (620) 862 5242,royce.frazier@barclaycollege.edu,N/A
Barton County Community College,,College,245 NE 30 RD,Great Bend,800-722-6842 . 620-792-2701,,webmaster@bartonccc.edu,N/A
Benedictine College,Benedictine College,College,1020 N 2Nd Street,Atchison,+1 (913) 360 7614,+1 (913) 367 1157,coronado@benedictine.edu,N/A
Bethany College,Bethany College,College,421 N. 1st,Lindsborg,785-227-3380 ext 8115,785-227-2004,mattisonj@bethanylb.edu,N/A
"Bethany College, KS","Bethany College, KS",College,,,,,,N/A
Alice Lloyd College,Alice Lloyd College,College,100 Purpose Road,Pippa Passes,+1 (606) 368 2101,+1 (606) 368 6212,admissions@alc.edu,admissions@alc.edu
Asbury University,Asbury College,University,1 Macklem Drive,Wilmore,"+1 (859) 858 3511, +1 -800-888-1818",+1 (859) 858 3921,admissions@asbury.edu,admissions@asbury.edu
Ashland Community and Technical College,Ashland Community and Technical College,College,1400 College Drive,Ashland,+1 (606) -326-2000,,,N/A
Bellarmine University,Bellarmine University,College,2001 Newburg Road,Louisville,"+1 5022728000, +1 502-272-8133",+1 502-272-7734,admissions@bellarmine.edu,admissions@bellarmine.edu
Berea College,Berea College,College,Chestnut Street,Berea,+1 (859) 985 3000,+1 (859) 985 3917,askadmissions@berea.edu,askadmissions@berea.edu
Big Sandy Community and Technical College,Big Sandy Community and Technical College,College,1 Bert T. Combs Drive,Prestonsburg,+1 606-886-7371,+1 606-886-6200,jackie.cecil@kctcs.edu,N/A
Bluegrass Community and Technical College,Bluegrass Community and Technical College,College,470 Cooper Drive,Lexington,+1 866-774-4872,,,N/A
Bowling Green Community College,"Bowling Green Technical College, Bowling Green, KY",College,1845 Loop Drive,"Bowling Green, KY",+1 270-901-1000,,,N/A
Bowling Green Technical College,Bowling Green Technical College,College,,Bowling Green,270-901-1116,270-901-1146,sherri.forester@kctcs.edu,N/A
Brescia University,"Brescia University, Owensboro, Kentucky",University,717 Frederica Street,"Owensboro, Kentucky",+1 (270) 686 4241,+1 (270) 686 4314,admissions@brescia.edu,admissions@brescia.edu
Ayers Career College,Ayers Career College,College,8820 Jewella Avenue,"Shreveport, Louisiana","+1 (318) 868-3000,+1 (800) 317-0131",,ao@ayers.edu,ao@ayers.edu
Baton Rouge Community College,Baton Rouge Community College,College,201 Community College Drive,Baton Rouge,"1-800-601-4558, (225) 216-8000",225-216-8003,engera@mybrcc.edu,N/A
Bossier Parish Community College,Bossier Parish Community College,College,"1233 20th Street NW, Suite 301",Bossier City,,,,N/A
"Career Technical College, Monroe",CTC Monroe,College,2319 Louisville Avenue,"Monroe, LA",+1 (855) 444-2424,,,N/A
"Career Technical College, Shreveport",CTC Shreveport,College,1227 Shreveport-Barksdale Hwy,"Shreveport, LA",+1 (855) 444-2424,,,N/A
Centenary College of Louisiana,Centenary College of Louisiana,College,P.O. Box 41188,Shreveport,318.869.5281,318.869.5281,hr@centenary.edu,N/A
"Centenary College of Louisiana, Business School","Centenary College of Louisiana, Business School",College,2911 Centenary Boulevard,Shreveport,"1-800-234-4448, +1 1-800-259-6447",,,N/A
Columbus University,(Columbus University is an unaccredited distance education institution in Louisiana),University,P.O. Box 2491,Daphne,+1 (888) 572-0255,+1 (888) 572-0256,registrar@ColumbusU.com,N/A
Delgado Community College,Delgado Community College,College,615 City Park Avenue,New Orleans,504-671-5000,,enroll@dcc.edu,N/A
Delta International University (DIU),Delta International University (DIU),University,201 St. Charles Avenue,New Orleans,+1 (504) 754-6873,+1 (504) 524-7979,info@delta-university.org,admin@delta-university.com
Andover College,Andover College,College,265 Western Avenue,Lewiston,,207-774-1715,kknight@andovercollege.edu,N/A
Andover College–Lewiston,"Andover College, Lewiston Campus",College,265 Western Avenue,Lewiston,+1 (888) 2425314,+1 207-774-1715,kknight@andovercollege.edu,N/A
Andover College–Portland,Andover College–Portland,College,,,+1 (800) 9869030,,,N/A
Bates College,Bates College,College,"2 Andrews Road, 221 Lane Hall",Lewiston,+1 (207) 786 6255,+1 (207) 786 6123,BatesVP@wittkieffer.com,N/A
Beal College,Beal College,College,99 Farm Road,Bangor,+1 207) 947-4591,+1 (207) 947-0208,dleblanc@bealcollege.edu,N/A
